Insertion_Date,Report_Narrative,Indicator_IP,Ref_ID,Threat_Family,Source_Platform
2025-10-20 00:00:00,Suspicious activity: APT29 executed LockBit malware. File hash is 3b1cb747c0104fb2.,192.168.1.4,9537,File_Write,Firewall
2025-10-20 00:00:02,User user_a authenticated successfully via service 8598.,203.0.113.2,1697,Auth_Fail,EDR
2025-10-20 00:00:02,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Mustang Panda source.,192.168.1.1,7527,Vulnerability_Scan,Proxy
2025-10-20 00:00:15,User admin_corp authenticated successfully via service 8641.,192.168.1.8,8046,Auth_Fail,SIEM
2025-10-20 00:00:08,User svc_account authenticated successfully via service 8461.,192.168.1.7,1733,Auth_Fail,Firewall
2025-10-20 00:00:15,"Inbound email flagged as spear phishing, potentially delivering LockBit.",192.168.1.4,8216,Email_Blocked,EDR
2025-10-20 00:00:12,"Inbound email flagged as spear phishing, potentially delivering LockBit.",203.0.113.5,3753,Email_Blocked,Firewall
2025-10-20 00:00:35,Suspicious activity: WIZARD SPIDER executed LockBit malware. File hash is 642e8db2dbb15a96.,203.0.113.2,9253,File_Write,SIEM
2025-10-20 00:00:24,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,192.168.1.1,2441,Vulnerability_Scan,Proxy
2025-10-20 00:00:18,"Inbound email flagged as spear phishing, potentially delivering Emotet.",192.168.1.9,7934,Email_Blocked,Firewall
2025-10-20 00:00:10,Suspicious activity: WIZARD SPIDER executed Clop malware. File hash is 896c15775a170aa2.,192.168.1.6,2871,File_Write,Proxy
2025-10-20 00:00:55,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Mustang Panda source.,192.168.1.2,7053,Vulnerability_Scan,SIEM
2025-10-20 00:00:12,User user_a authenticated successfully via service 8013.,192.168.1.3,3214,Network_Conn,SIEM
2025-10-20 00:00:13,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,192.168.1.4,1105,Vulnerability_Scan,Proxy
2025-10-20 00:00:14,User guest_ext authenticated successfully via service 8430.,203.0.113.5,4053,Auth_Fail,Firewall
2025-10-20 00:01:00,User admin_corp authenticated successfully via service 8902.,192.168.1.10,9169,Auth_Fail,SIEM
2025-10-20 00:00:32,"Inbound email flagged as spear phishing, potentially delivering Emotet.",203.0.113.5,5050,Email_Blocked,SIEM
2025-10-20 00:00:17,User guest_ext authenticated successfully via service 8286.,192.168.1.8,3423,Network_Conn,EDR
2025-10-20 00:00:54,Suspicious activity: WIZARD SPIDER executed Clop malware. File hash is 8125cbf43ed666da.,192.168.1.5,8064,File_Write,SIEM
2025-10-20 00:00:57,User admin_corp authenticated successfully via service 8497.,192.168.1.4,3499,Network_Conn,Proxy
2025-10-20 00:01:40,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is 431fcba745db6b8a.,192.168.1.9,7186,File_Write,Firewall
2025-10-20 00:01:03,Suspicious activity: APT29 executed TrickBot malware. File hash is ac06de8517af6f5e.,192.168.1.8,5688,File_Write,EDR
2025-10-20 00:00:22,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",203.0.113.5,9737,Email_Blocked,EDR
2025-10-20 00:01:32,User user_a authenticated successfully via service 8295.,192.168.1.5,8858,Network_Conn,EDR
2025-10-20 00:00:48,User user_a authenticated successfully via service 8171.,203.0.113.3,8473,Network_Conn,Proxy
2025-10-20 00:00:50,Suspicious activity: FIN7 executed QakBot malware. File hash is ba4e401cf87108ec.,203.0.113.5,5956,File_Write,EDR
2025-10-20 00:00:26,User guest_ext authenticated successfully via service 8591.,192.168.1.10,9682,Auth_Fail,Firewall
2025-10-20 00:00:54,Suspicious activity: Lazarus Group executed LockBit malware. File hash is d81f25482c076140.,192.168.1.6,9710,File_Write,SIEM
2025-10-20 00:01:24,User user_a authenticated successfully via service 8276.,203.0.113.3,4583,Auth_Fail,Firewall
2025-10-20 00:02:25,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,192.168.1.6,3751,Vulnerability_Scan,Firewall
2025-10-20 00:01:00,User guest_ext authenticated successfully via service 8483.,192.168.1.1,5253,Network_Conn,Proxy
2025-10-20 00:02:04,"Inbound email flagged as spear phishing, potentially delivering Emotet.",192.168.1.8,8951,Email_Blocked,Proxy
2025-10-20 00:02:08,Suspicious activity: Lazarus Group executed QakBot malware. File hash is b876d0f99b519f52.,192.168.1.7,6694,File_Write,EDR
2025-10-20 00:02:45,User guest_ext authenticated successfully via service 8309.,203.0.113.3,5421,Network_Conn,Firewall
2025-10-20 00:01:42,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,203.0.113.1,2237,Vulnerability_Scan,Proxy
2025-10-20 00:01:10,User svc_account authenticated successfully via service 8182.,203.0.113.3,2663,Network_Conn,Proxy
2025-10-20 00:01:12,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",192.168.1.3,1255,Email_Blocked,Proxy
2025-10-20 00:01:14,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by Mustang Panda source.,203.0.113.1,2127,Vulnerability_Scan,SIEM
2025-10-20 00:02:32,User user_a authenticated successfully via service 8011.,203.0.113.1,2859,Network_Conn,EDR
2025-10-20 00:02:36,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Lazarus Group source.,192.168.1.5,7528,Vulnerability_Scan,Proxy
2025-10-20 00:03:20,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by APT29 source.,192.168.1.9,4827,Vulnerability_Scan,SIEM
2025-10-20 00:00:41,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by WIZARD SPIDER source.,192.168.1.3,9427,Vulnerability_Scan,Proxy
2025-10-20 00:02:06,"Inbound email flagged as spear phishing, potentially delivering QakBot.",192.168.1.4,8555,Email_Blocked,Proxy
2025-10-20 00:03:35,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by APT29 source.,203.0.113.5,3008,Vulnerability_Scan,EDR
2025-10-20 00:01:28,"Inbound email flagged as spear phishing, potentially delivering Emotet.",192.168.1.3,6895,Email_Blocked,Firewall
2025-10-20 00:03:00,"Inbound email flagged as spear phishing, potentially delivering LockBit.",192.168.1.6,1033,Email_Blocked,SIEM
2025-10-20 00:01:32,Suspicious activity: FIN7 executed Emotet malware. File hash is a3d4faaba3e2a11e.,192.168.1.9,9788,File_Write,EDR
2025-10-20 00:01:34,User svc_account authenticated successfully via service 8040.,203.0.113.1,4591,Network_Conn,Proxy
2025-10-20 00:00:48,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Lazarus Group source.,192.168.1.8,6123,Vulnerability_Scan,EDR
2025-10-20 00:03:16,Suspicious activity: FIN7 executed TrickBot malware. File hash is 7bd4eff9bb869c77.,192.168.1.3,2667,File_Write,Proxy
2025-10-20 00:01:40,Suspicious activity: WIZARD SPIDER executed QakBot malware. File hash is 89c3e0e0fac35322.,192.168.1.7,4666,File_Write,Proxy
2025-10-20 00:01:42,"Inbound email flagged as spear phishing, potentially delivering Emotet.",203.0.113.2,4256,Email_Blocked,Firewall
2025-10-20 00:02:36,User admin_corp authenticated successfully via service 8199.,192.168.1.4,3371,Network_Conn,Proxy
2025-10-20 00:01:46,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Lazarus Group source.,192.168.1.9,5255,Vulnerability_Scan,SIEM
2025-10-20 00:01:48,User user_a authenticated successfully via service 8445.,192.168.1.4,7396,Auth_Fail,Proxy
2025-10-20 00:00:55,"Inbound email flagged as spear phishing, potentially delivering LockBit.",203.0.113.3,7595,Email_Blocked,Firewall
2025-10-20 00:04:40,User svc_account authenticated successfully via service 8162.,192.168.1.9,6666,Network_Conn,SIEM
2025-10-20 00:02:51,User guest_ext authenticated successfully via service 8465.,192.168.1.2,2411,Network_Conn,EDR
2025-10-20 00:02:54,User svc_account authenticated successfully via service 8612.,203.0.113.2,4839,Auth_Fail,SIEM
2025-10-20 00:00:59,Suspicious activity: WIZARD SPIDER executed TrickBot malware. File hash is 4ded2581cfa1b18b.,192.168.1.1,5130,File_Write,Proxy
2025-10-20 00:05:00,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is 5f4e6917b3f4bdb6.,192.168.1.10,2089,File_Write,EDR
2025-10-20 00:02:02,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Mustang Panda source.,192.168.1.7,7492,Vulnerability_Scan,SIEM
2025-10-20 00:01:02,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by APT29 source.,192.168.1.8,8176,Vulnerability_Scan,Firewall
2025-10-20 00:05:15,"Inbound email flagged as spear phishing, potentially delivering QakBot.",192.168.1.5,8941,Email_Blocked,Firewall
2025-10-20 00:05:20,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Mustang Panda source.,203.0.113.3,1428,Vulnerability_Scan,Firewall
2025-10-20 00:01:05,User user_a authenticated successfully via service 8462.,192.168.1.4,9145,Network_Conn,Proxy
2025-10-20 00:04:24,User admin_corp authenticated successfully via service 8119.,203.0.113.4,4879,Network_Conn,Firewall
2025-10-20 00:01:07,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is fe1da5e7772a29a7.,192.168.1.3,4794,File_Write,Firewall
2025-10-20 00:03:24,Suspicious activity: Mustang Panda executed QakBot malware. File hash is c8d409b0be8c3ff7.,192.168.1.2,7143,File_Write,Firewall
2025-10-20 00:05:45,Suspicious activity: APT29 executed Emotet malware. File hash is af4d6052201e5e8a.,192.168.1.6,8338,File_Write,Firewall
2025-10-20 00:05:50,User svc_account authenticated successfully via service 8358.,203.0.113.2,1400,Network_Conn,SIEM
2025-10-20 00:03:33,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Lazarus Group source.,203.0.113.2,2352,Vulnerability_Scan,Firewall
2025-10-20 00:02:24,User user_a authenticated successfully via service 8859.,192.168.1.1,3066,Network_Conn,SIEM
2025-10-20 00:06:05,Suspicious activity: Mustang Panda executed Clop malware. File hash is 1a2a17c9396d4e54.,203.0.113.3,5847,File_Write,SIEM
2025-10-20 00:01:14,User svc_account authenticated successfully via service 8495.,203.0.113.5,7246,Auth_Fail,EDR
2025-10-20 00:01:15,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is a1093a0507753d3b.,192.168.1.1,8500,File_Write,EDR
